Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness,PHIF_Confidence,SW_Confidence,PHIF_Std,SW_Std,PHIF_Lower_95CI,PHIF_Upper_95CI,SW_Lower_95CI,SW_Upper_95CI
15_9-F-4,3249.47284800,-0.96398721,-0.15062398,0.77496322,-0.00607329,-0.43599529,-0.36332019,-0.88042537,0.29292486,0.45834376,-0.70626979,0.00000000,,,,,,,-0.80539355,-0.65979259,1.39416889,-0.71697160,-0.00413406,-1.26782183,-0.54566423,,,,,,,,
15_9-F-4,3249.62524800,-1.06346404,0.02605050,-0.32147711,-0.39322344,-0.25732481,-0.37541723,-0.95862057,0.46707143,0.43224567,-0.79479199,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.61871490,1.35665766,0.03138031,-0.00413406,-0.59732014,-0.54566423,,,,,,,,
15_9-F-4,3249.77764800,-1.12774397,0.14444589,-0.50102503,-0.56385881,-0.08228273,-0.44991072,-1.00974824,0.70548598,0.49459106,-0.85802212,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.62356422,1.26886306,1.09677910,-0.00413406,-0.03487585,-0.54566423,,,,,,,,
15_9-F-4,3249.93004800,-1.02440557,0.22785557,-0.50820707,-0.52441957,0.05063256,-0.50799276,-0.92779365,0.41853135,0.46849297,-0.88809157,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.62278679,1.13697929,1.23354057,-0.00413406,0.39486815,-0.54566423,,,,,,,,
15_9-F-4,3250.08244800,-0.98494028,0.35278129,-0.43638769,-0.56949299,0.18924134,-0.29374237,-0.89696667,0.38088509,0.51343956,-0.94120491,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.60243631,0.96720050,1.24848884,-0.00413406,1.00101183,-0.54566423,,,,,,,,
15_9-F-4,3250.23484800,-0.84947709,0.48081305,-0.33823486,-0.62181063,0.35691383,-0.03326107,-0.79020017,0.19072010,0.56998548,-0.98954083,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.56459573,0.76572090,1.24563326,-0.00413406,1.27247857,-0.54566423,,,,,,,,
15_9-F-4,3250.38724800,-0.88927626,0.55800831,-0.24247604,-0.62181063,0.50985160,0.21001116,-0.82102708,0.27205498,0.59318373,-1.01623799,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.54436664,0.53873465,1.38688894,-0.00413406,1.07733142,-0.40425301,,,,,,,,
15_9-F-4,3250.53964800,-0.89342930,0.59826125,0.03283105,-0.70873740,0.62480525,0.32556276,-0.82478642,0.38519780,0.71352496,-1.03871982,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.53510321,0.29243594,1.25094622,-0.00413406,0.63432448,-0.40425301,,,,,,,,
15_9-F-4,3250.69204800,-0.85658691,0.58741183,-0.03659395,-0.65078558,0.69135500,0.33057569,-0.79546328,0.27050480,0.65987887,-1.03085118,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.50782111,0.03301895,0.79184014,-0.00413406,0.15418478,-0.40425301,,,,,,,,
15_9-F-4,3250.84444800,-0.81356358,0.55921200,0.00170957,-0.78117765,0.74556728,0.31649349,-0.76162880,0.26896297,0.74977225,-1.02972711,0.00000000,3.00000000,-0.24714276,-0.02988739,-0.17656304,0.32471280,-0.08208864,-0.00953609,-0.45174777,-0.23332214,0.96447300,-0.00413406,-0.10810508,-0.40425301,,,,,,,,
