Well,Depth,GR,VSH,RT,RD,NPHI,RHOB,DT,PHIF,SW,KLOGH,Equinor facies,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4
15_9-F-4,3249.625248,-0.867259651,-0.920506964,-0.172987858,-0.589233254,-0.900260788,-0.115993695,-0.638332387,-0.08499787,-0.216068727,0.352930997,0,0,0,0,1,0
15_9-F-4,3249.777648,-0.92693034,-0.968776221,-0.019849603,-0.388008933,-1.106446759,-0.330752844,-0.726062179,1.17E-05,-0.323752219,0.607180525,0,0,0,0,1,0
15_9-F-4,3249.930048,-0.8310019,-0.891403494,0.088036458,-0.235212588,-1.114694343,-0.281115201,-0.794464459,-0.035573723,-0.374961732,0.301166984,0,0,0,0,1,0
15_9-F-4,3250.082448,-0.794366494,-0.862299975,0.249621345,-0.075871147,-1.032219713,-0.337843937,-0.542145225,0.02571213,-0.465415926,0.261020334,0,0,0,0,1,0
15_9-F-4,3250.234848,-0.668616791,-0.761502511,0.415223729,0.116881275,-0.919504748,-0.403690146,-0.235380572,0.10281398,-0.547733965,0.058224994,0,0,0,0,1,0
15_9-F-4,3250.387248,-0.705562127,-0.790605974,0.515071774,0.292694997,-0.809538986,-0.403690146,0.051117227,0.1344454,-0.593200328,0.144961966,0,0,0,0,1,0
15_9-F-4,3250.539648,-0.709417377,-0.794155139,0.567136836,0.42484305,-0.493386842,-0.51309489,0.187200488,0.298533837,-0.631487809,0.265619488,0,0,0,0,1,0
15_9-F-4,3250.692048,-0.675216791,-0.766471374,0.553103679,0.501347095,-0.573111856,-0.440157587,0.193104129,0.225385982,-0.618087178,0.143308827,0,0,0,0,1,0
15_9-F-4,3250.844448,-0.635278482,-0.734528495,0.516628677,0.563668289,-0.529125557,-0.604267118,0.176519756,0.347957964,-0.616172842,0.141664591,0,0,0,0,1,0
15_9-F-4,3250.996848,-0.567424068,-0.67987072,0.54189654,0.645879627,-0.460396891,-0.535382555,0.132654859,0.322257249,-0.621915921,0.007419588,0,0,0,0,1,0
15_9-F-4,3251.149248,-0.646443892,-0.743756379,0.538244001,0.672757422,-0.240464956,-0.597176025,0.084200078,0.427036544,-0.63244501,0.216553392,0,0,0,0,1,0
15_9-F-4,3251.301648,-0.620246749,-0.722461195,0.510404577,0.688807404,-0.182733078,-0.570838021,0.145774795,0.425059537,-0.621437389,0.160864724,0,0,0,0,1,0
15_9-F-4,3251.454048,-0.550988892,-0.667093565,0.509835224,0.709893147,-0.413661388,-0.61946369,0.254881469,0.39145111,-0.616651445,0.016647468,0,0,0,0,1,0
15_9-F-4,3251.606448,-0.483962891,-0.613145532,0.43711893,0.709064688,-0.372424293,-0.592111301,0.48338462,0.385520405,-0.586021446,-0.083374236,0,0,0,0,1,0
15_9-F-4,3251.758848,-0.497608166,-0.623793234,0.463738063,0.708017217,-0.212973413,-0.492836005,0.601756959,0.365750691,-0.594636132,-0.074025248,0,0,0,0,1,0
15_9-F-4,3251.911248,-0.512685049,-0.635860534,0.438005827,0.719560588,-0.039776981,-0.474601069,0.571935922,0.403313113,-0.588414384,-0.036419318,0,0,0,0,1,0
