feature,importance
KLOGH,0.13554824761480808
VSH,0.11929729547624499
GR,0.09552365029164472
RHOB,0.09320260723505593
GR_Serration,0.0911615121490046
PHIF,0.09008477793743562
BaseSharpness,0.08643871562743997
NPHI,0.07907964406854827
DT,0.06269446780193853
OppositionIndex,0.04971895841142873
RelPos,0.047200133673141326
Lithology_0,0.02143993150799084
Lithology_3,0.01605340488693329
NTG_Slope,0.01200968725085041
Lithology_4,0.00029602599498886447
Lithology_2,0.00025094007254593313
Lithology_1,0.0
GR_Slope,0.0
