feature,importance
SW,0.10583718211857703
KLOGH,0.09518036746592845
VSH,0.0887836208399563
RD,0.08177553850506948
GR,0.07963638759685016
RT,0.0733322873454853
RHOB,0.06946951751051406
GR_Serration,0.06899373622687872
PHIF,0.06513993455571437
NPHI,0.06309746604802546
BaseSharpness,0.058471392209030595
DT,0.04225962653559254
OppositionIndex,0.03291707099977905
RelPos,0.031201681335770833
Lithology_0,0.01621592903319574
Lithology_3,0.015043785772885454
NTG_Slope,0.012025093662916528
Lithology_4,0.0003923868389502328
Lithology_2,0.0002269953988796715
Lithology_1,0.0
GR_Slope,0.0
