scenario_id,feature_combination,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,rank
FC_02_rock_clean_custom_sand,FC_02_rock_clean,custom_sand,5,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT']",0.390027081772049,0.08594983792002082,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:51:18,1
FC_02_rock_clean_f1_weighted,FC_02_rock_clean,f1_weighted,5,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT']",0.37021298762526583,0.0806797237571536,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:48:10,2
FC_06_relpos_custom_sand,FC_06_relpos,custom_sand,16,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.3295392673806193,0.05133986765633882,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 20:06:34,3
FC_05_lithology_custom_sand,FC_05_lithology,custom_sand,15,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4']",0.3253040429811042,0.051763337406301874,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 20:01:19,4
FC_04_full_base_custom_sand,FC_04_full_base,custom_sand,10,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH']",0.32016714895318865,0.06066900788788208,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:56:55,5
FC_01_rock_only_custom_sand,FC_01_rock_only,custom_sand,3,"['NPHI', 'RHOB', 'DT']",0.3169733362457247,0.03764677403252462,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:46:47,6
FC_06_relpos_f1_weighted,FC_06_relpos,f1_weighted,16,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.31664973357325793,0.04254932348855485,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 20:02:59,7
FC_05_lithology_f1_weighted,FC_05_lithology,f1_weighted,15,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4']",0.31342745649368975,0.040753094639893336,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:58:14,8
FC_01_rock_only_f1_weighted,FC_01_rock_only,f1_weighted,3,"['NPHI', 'RHOB', 'DT']",0.31202588385121827,0.03571725073004777,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:44:44,9
FC_04_full_base_f1_weighted,FC_04_full_base,f1_weighted,10,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH']",0.30935625783551085,0.05043846513769607,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-30 19:53:02,10
