feature,importance
KLOGH,0.10030717854744994
VSH,0.09851540280255612
RD,0.08280131387225756
SW,0.07798641698953171
GR,0.07667775084273297
PHIF,0.07343480050482099
RHOB,0.07141180601122524
GR_Serration,0.0680781410998344
RT,0.06629714114256567
NPHI,0.060459001921698015
DT,0.05236160943228177
BaseSharpness,0.046547331249807755
OppositionIndex,0.03727143488614591
RelPos,0.02569355804371702
Lithology_3,0.022021721406943667
Lithology_0,0.01875856138314314
NTG_Slope,0.008203023621861443
Lithology_4,0.007607824257065718
Lithology_2,0.005565981984360955
Lithology_1,0.0
GR_Slope,0.0
