feature,importance
KLOGH,0.1004411729929804
VSH,0.0970104620771335
RD,0.08229686387264017
SW,0.08051961183163343
GR,0.07711815968899469
PHIF,0.07247201537357693
RHOB,0.07127131877317405
GR_Serration,0.06643824920576284
RT,0.0660915893547672
NPHI,0.06121628841789527
DT,0.053024018684981786
BaseSharpness,0.04653780607042341
OppositionIndex,0.037488096664287714
RelPos,0.02619676687309741
Lithology_3,0.022439250933759532
Lithology_0,0.018639367285968163
NTG_Slope,0.008195008031622375
Lithology_4,0.00712131921750444
Lithology_2,0.005482634649796629
Lithology_1,0.0
GR_Slope,0.0
