feature,importance
KLOGH,0.09872446299364478
VSH,0.0972135449059423
RD,0.08773390573978873
SW,0.0863424504511494
GR,0.07835522965319248
PHIF,0.07201813957232353
GR_Serration,0.06920247998386336
RHOB,0.0672557905520608
RT,0.06701849547812613
NPHI,0.05982837433362811
DT,0.05409245477257429
BaseSharpness,0.04313173808779227
OppositionIndex,0.034625286413099934
RelPos,0.024437794998355578
Lithology_3,0.022616192728144822
Lithology_0,0.019110106239937318
Lithology_4,0.006801924761168542
NTG_Slope,0.00653691634940204
Lithology_2,0.004954711985805583
Lithology_1,0.0
GR_Slope,0.0
