scenario_id,feature_combination,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,rank
FC_03_add_perm_custom_sand,FC_03_add_perm,custom_sand,7,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH']",0.39523260875967436,0.07869523060423173,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-31 10:49:41,1
FC_02_rock_clean_custom_sand,FC_02_rock_clean,custom_sand,5,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT']",0.390027081772049,0.08594983792002082,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-31 10:09:47,2
FC_03_add_perm_f1_weighted,FC_03_add_perm,f1_weighted,7,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH']",0.3761351207519818,0.07353507880636874,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-31 10:22:32,3
FC_02_rock_clean_f1_weighted,FC_02_rock_clean,f1_weighted,5,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT']",0.37021298762526583,0.0806797237571536,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-31 09:47:34,4
FC_07_gr_texture_custom_sand,FC_07_gr_texture,custom_sand,18,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",0.33783498259242734,0.04610732281634879,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 15:20:38,5
FC_06_relpos_custom_sand,FC_06_relpos,custom_sand,16,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.3295392673806193,0.05133986765633882,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 14:26:19,6
FC_08_full_strat_custom_sand,FC_08_full_strat,custom_sand,21,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.32694912011136185,0.044899546146742214,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 16:18:13,7
FC_07_gr_texture_f1_weighted,FC_07_gr_texture,f1_weighted,18,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",0.325830906543226,0.03791860672181847,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 14:44:16,8
FC_05_lithology_custom_sand,FC_05_lithology,custom_sand,15,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4']",0.3253040429811042,0.051763337406301874,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 13:31:23,9
FC_04_full_base_custom_sand,FC_04_full_base,custom_sand,10,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH']",0.32016714895318865,0.06066900788788208,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-31 16:09:58,10
FC_01_rock_only_custom_sand,FC_01_rock_only,custom_sand,3,"['NPHI', 'RHOB', 'DT']",0.3175895027044617,0.0380519549683816,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2025-12-31 09:36:40,11
FC_06_relpos_f1_weighted,FC_06_relpos,f1_weighted,16,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.31664973357325793,0.04254932348855485,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 13:49:02,12
FC_08_full_strat_f1_weighted,FC_08_full_strat,f1_weighted,21,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.31426623531370684,0.03817601841252243,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-4']",4,2026-01-02 15:39:20,13
