feature,importance
KLOGH,0.12573413008082798
VSH,0.1207495734510611
RHOB,0.09709193865800848
GR,0.09504206021373336
GR_Serration,0.09312556802684208
PHIF,0.08938366111465242
BaseSharpness,0.08445675754044417
NPHI,0.08363590477083135
DT,0.06696777187789205
OppositionIndex,0.05036333158352087
RelPos,0.04386405844986595
Lithology_0,0.02129070271799254
NTG_Slope,0.014684800690143567
Lithology_3,0.012653950226014545
Lithology_4,0.0005747901009687705
Lithology_2,0.00038100049720089676
Lithology_1,0.0
GR_Slope,0.0
