feature,importance
KLOGH,0.10314933058742241
SW,0.10273048131336675
RD,0.08732314214141167
VSH,0.08546955996885923
GR,0.07834867962976479
GR_Serration,0.07188339282936655
RHOB,0.07051389384763385
RT,0.0683926139211024
PHIF,0.06729859390496948
BaseSharpness,0.059549898559491006
NPHI,0.056967211285259625
DT,0.04279800317972827
OppositionIndex,0.03323918507949662
RelPos,0.031203063632121737
Lithology_0,0.017147624012011857
Lithology_3,0.013166376270085628
NTG_Slope,0.010250406073658538
Lithology_2,0.0002991917343495261
Lithology_4,0.00026935202989987424
Lithology_1,0.0
GR_Slope,0.0
