rank,trial_number,features,n_features,cv_mean,cv_std,feature_penalty,objective_value
1,355,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",7,0.4823774367713182,0.0608892061335839,0.003333333333333333,0.47904410343798487
2,343,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",8,0.48067248584701533,0.06072210085784226,0.0038095238095238095,0.4768629620374915
3,200,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",9,0.47817632360897394,0.05642521908400141,0.004285714285714286,0.47389060932325966
4,364,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",8,0.47608382571801866,0.06893468927580639,0.0038095238095238095,0.47227430190849484
5,275,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",8,0.4751806811899124,0.06321305612225045,0.0038095238095238095,0.4713711573803886
6,240,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",9,0.47531510863486026,0.06577348315487103,0.004285714285714286,0.471029394349146
7,176,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",9,0.47494833092827193,0.07285915430028268,0.004285714285714286,0.47066261664255765
8,197,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",10,0.47516212323109863,0.06948831984878374,0.0047619047619047615,0.4704002184691939
9,126,"['VSH', 'NPHI', 'DT', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",10,0.47506586521353467,0.052714163569082956,0.0047619047619047615,0.4703039604516299
10,284,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",10,0.47487358428095294,0.06306543874427438,0.0047619047619047615,0.4701116795190482
11,187,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",8,0.47254505817742615,0.06704164304117473,0.0038095238095238095,0.46873553436790233
12,448,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Serration', 'BaseSharpness']",7,0.4718929525202278,0.07681280268182902,0.003333333333333333,0.4685596191868944
13,466,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'RelPos', 'GR_Serration']",7,0.4716621052065306,0.08812183279179321,0.003333333333333333,0.46832877187319727
14,352,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",9,0.4725945718063787,0.07709989534370658,0.004285714285714286,0.4683088575206644
15,70,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",11,0.47336919936306576,0.060855431223374265,0.005238095238095239,0.4681311041249705
16,369,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",8,0.47114190897582275,0.08067764961881646,0.0038095238095238095,0.46733238516629894
17,98,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_2', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",11,0.47219558680470236,0.07049608454375399,0.005238095238095239,0.4669574915666071
18,376,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",8,0.47058804195210063,0.0844551906129869,0.0038095238095238095,0.4667785181425768
19,199,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",10,0.4709141136927121,0.06498295537758955,0.0047619047619047615,0.46615220893080733
20,89,"['VSH', 'NPHI', 'DT', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",12,0.471484492084681,0.06987402155688625,0.005714285714285714,0.4657702063703953
21,330,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Serration', 'OppositionIndex', 'NTG_Slope']",7,0.46848942556669027,0.07999483439851403,0.003333333333333333,0.4651560922333569
22,447,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",7,0.4683726203373242,0.09514437077423898,0.003333333333333333,0.46503928700399083
23,186,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",10,0.46972210732657355,0.0625457530205407,0.0047619047619047615,0.4649602025646688
