scenario_id,v7_combo_name,v7_rank,v7_cv_score,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,final_rank
V7_Rank_04_custom_sand,V7_Rank_04,4,0.4760838257180186,custom_sand,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.4901517566879224,0.058532165226956485,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 23:06:52,1
V7_Rank_11_custom_sand,V7_Rank_11,11,0.4725450581774261,custom_sand,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.4882106889029702,0.05442919554544921,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 01:38:27,2
V7_Rank_05_custom_sand,V7_Rank_05,5,0.4751806811899124,custom_sand,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.48744676210625587,0.06291201686786095,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 300}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 23:27:16,3
V7_Rank_19_custom_sand,V7_Rank_19,19,0.4709141136927121,custom_sand,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.4868611070003859,0.07428720815391704,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 04:26:40,4
V7_Rank_01_custom_sand,V7_Rank_01,1,0.4823774367713182,custom_sand,7,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.4867539097397014,0.059272445220660136,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 22:08:50,5
V7_Rank_02_custom_sand,V7_Rank_02,2,0.4806724858470153,custom_sand,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.48647006155472927,0.061727391598443135,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-05 22:27:09,6
V7_Rank_18_custom_sand,V7_Rank_18,18,0.4705880419521006,custom_sand,8,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'BaseSharpness']",0.4856468295624169,0.06548280214035664,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 04:07:53,7
V7_Rank_29_custom_sand,V7_Rank_29,29,0.464487971480843,custom_sand,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.4851127818224702,0.07212757433341382,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 08:02:54,8
V7_Rank_08_custom_sand,V7_Rank_08,8,0.4751621232310986,custom_sand,10,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_3', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.4848425319513009,0.06453522046315024,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 00:30:17,9
V7_Rank_14_custom_sand,V7_Rank_14,14,0.4725945718063787,custom_sand,9,"['VSH', 'NPHI', 'Lithology_0', 'Lithology_1', 'Lithology_4', 'GR_Slope', 'GR_Serration', 'NTG_Slope', 'BaseSharpness']",0.484734376632987,0.06420138696938398,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-06 02:35:58,10
